genes	log2FoldChange	pvalue
FN3KRP	0.372787893	0.010729636
FNBP1	0.061750829	0.641506653
FNBP1L	-0.028440416	0.554214336
FNBP4	-0.499055031	0.003365545
FNDC3A	0.483506799	0.019041552
FNDC3B	0.14291811	0.631710681
FNTA	0.394210398	4.13E-05
FNTB	0.060890377	0.598227406
FOCAD	-0.10968709	0.36218636
FOXK1	0.723418295	0.010615024
FOXO1	-0.038431942	0.839740767
FRG1	0.469842851	0.030809821
FRMD4A	0.388058364	0.158667499
FRMD6	0.556963925	0.046338162
FRMD8	0.054502904	0.280049431
FRY	-0.039648354	0.863752337
FRYL	-0.042847514	0.662008194
FSCN1	0.36039269	0.023564537
FSTL1	0.00821203	0.959916662
FTH1	0.082407296	0.808692991
FTO	0.068081737	0.032687491
FTSJ1	0.15269953	0.287386933
FTSJ3	0.034366846	0.870889342
FUBP1	0.037950695	0.649532438
FUBP3	0.043101609	0.296243897
FUCA1	-0.129427671	0.583906306
FUCA2	0.707714617	0.002408972
FUNDC2	0.234623373	0.627271137
FUS	0.020126283	0.87847053
FUT8	-0.750437737	0.162583919
FXN	0.011253953	0.976670901
FXR1	0.121728182	0.146885
FXR2	0.002589822	0.979844603
FYCO1	0.021952212	0.686344587
FYN	0.16700238	0.425951067
FYTTD1	0.257176042	0.569380566
G2E3	-0.188209713	0.63415488
G3BP1	0.293263972	0.03375642
G3BP2	0.041815817	0.620301589
G6PC3	0.391633877	0.044589378
G6PD	0.061505258	0.748074932
GAA	0.125353456	0.300871853
GABARAP;GABARAPL2;GABARAPL1	0.062650919	0.565357236
GABPA	0.419141829	0.053142062
GABPB1	0.004124224	0.986582501
GADD45GIP1	-0.001745999	0.988428439
GAK	-0.009705961	0.865833255
GALE	0.212073267	0.013270165
GALK1	-0.059265256	0.377853222
GALK2	0.095892966	0.727889634
GALM	0.077262223	0.892388384
GALNS	-0.103777707	0.62196132
GALNT1	0.148597717	0.665554777
GALNT2	0.28375268	0.55482904
GALNT6	0.312096328	0.239868045
GALNT7	-0.081436694	0.655593302
GAMT	-0.680057475	0.470005547
GAN	0.032133818	0.871827379
GANAB	0.151359975	0.242241316
GAPDH	-0.061394215	0.518720218
GAPDHS	0.070382357	0.762344118
GAPVD1	0.006617785	0.94422211
GAR1	-0.027470469	0.81820772
GARRE1	-0.120925878	0.341898742
GARS1	-0.061134219	0.186497166
GART	0.118660331	0.042208349
GATAD2A	-0.023479104	0.800106806
GATAD2B	0.046030819	0.608673431
GATC	-0.122649789	0.319362597
GATD1	-0.131068587	0.0365503
GATD3B;GATD3A	0.008469045	0.834174098
GBA	0.149701297	0.348443236
GBA2	-0.994768858	0.076938721
GBE1	0.138308227	0.039901875
GBF1	0.049124241	0.654451141
GBP1	0.084775269	0.403568153
GBP2	-0.08965528	0.634182518
GC	0.153532684	0.549752478
GCAT	-0.136847079	0.776780526
GCC1	-0.166977465	0.243842224
GCC2	0.167673588	0.447517777
GCDH	0.210175276	0.281946025
GCFC2	-0.417278647	0.12746867
GCLC	0.49713552	0.033692424
GCLM	-0.119970262	0.258379852
GCN1	-0.012375772	0.893553081
GCSH	-0.265538156	0.050548641
GDAP2	-0.248158276	0.006125741
GDI1	-0.016224027	0.881875373
GDI2	0.089585245	0.048293042
GEMIN2	0.266877294	0.165219585
GEMIN4	0.475944757	0.063144494
GEMIN5	-0.021078885	0.868809457
GEMIN7	-1.59200877	3.18E-06
GET1	0.097945622	0.74673874
GET3	0.19762373	0.007113318
GET4	0.028143227	0.80498786
GFER	0.06306994	0.495569821
GFM1	-0.004399955	0.963657021
GFM2	0.206667215	0.232427431
GFPT1	-0.0136199	0.926021633
GFPT2	0.232271671	0.555681883
GFUS	0.225363553	0.238811107
GGA1	0.459054172	0.027289192
GGA3	0.101931632	0.655735019
GGCT	0.136252224	0.447382216
GGH	0.286327362	0.033340114
GGPS1	0.116723776	0.570761787
GGT5	0.046055675	0.758921292
GHITM	-0.041169763	0.754784065
GID8	0.353469789	0.002006649
GIGYF1	-0.217710972	0.294806248
GIGYF2	0.009015679	0.873874831
GIMAP1	0.13662976	0.041141679
GIMAP4	0.057100296	0.596118249
GIMAP5	0.004684508	0.958897793
GIMAP7	-0.031946957	0.897031638
GIMAP8	0.039306939	0.887210165
GIPC1	0.091851473	0.30680682
GIPC2	0.176492989	0.385228733
GIT1	0.334007621	0.051777843
GIT2	0.439788997	0.0005508
GJA1	0.564648608	0.379200398
GLA	0.14393726	0.722570212
GLB1	-0.056268811	0.661873779
GLCE	-0.212935448	0.82525873
GLG1	-0.058163285	0.738908425
GLIPR2	-0.066022933	0.870550815
GLMN	-0.028386891	0.802882999
GLMP	-0.030009866	0.772259514
GLO1	0.294666171	0.10603606
GLOD4	-0.043078601	0.783093494
GLRX	0.286841333	0.094259861
GLRX3	0.068819344	0.419963941
GLRX5	-0.115120947	0.183721443
GLS	0.078872323	0.380876854
GLTP	-0.014195681	0.911586768
GLUD1	-0.02308774	0.566027946
GLYR1	0.089855254	0.691962838
GM2A	1.068349898	0.006859711
GMDS	0.09491986	0.193379928
GMEB2	0.761665016	0.023166496
GMFB	0.237069666	0.037546948
GMFG	-0.093309879	0.316232499
GMIP	-0.051758528	0.76612069
GMPPA	0.122402549	0.484836081
GMPPB	0.280153632	0.207509438
GMPR	0.165273309	0.527635851
GMPR2	-0.057567954	0.741009789
GMPS	0.118836045	0.006269999
GNA11	0.144962788	0.31668321
GNA13	-0.025940418	0.839334127
GNAI2	0.090688646	0.080375625
GNAI3	0.312696755	0.004453172
GNAQ	-0.076608062	0.687059503
GNAS	0.274075568	0.300542602
GNB1	0.045553029	0.496473685
GNB2	0.095893443	0.66341262
GNB4	0.682068944	0.001829903
GNG11	-0.117209971	0.62550517
GNG12	-0.144182026	0.287124163
GNL1	0.270180285	0.025231652
GNL3	0.029917538	0.86818416
GNPAT	0.383478761	0.310594302
GNPDA1	0.538592815	8.02E-05
GNPDA2	0.449914575	0.00325869
GNPNAT1	-0.030802429	0.674306048
GNS	0.014142394	0.892298873
GOLGA1	0.061249375	0.333548454
GOLGA2	0.032122374	0.816329038
GOLGA3	-0.013008475	0.449840418
GOLGA4	0.017279148	0.811655775
GOLGA5	0.012428582	0.894850106
GOLGB1	0.121509075	0.308973574
GOLM1	-0.041159868	0.836364282
GOLPH3	0.065280557	0.663907763
GOLPH3L	0.030487001	0.819936982
GOLT1B	-0.116605937	0.791747133
GON7	-0.377261937	0.049059691
GOPC	0.073818088	0.512303712
GORASP1	-0.718213916	0.260470499
GORASP2	0.12916714	0.223244884
GOSR1	0.023081541	0.914814804
GOSR2	0.342048228	0.074583834
GOT1	-0.053356946	0.682717305
GOT2	0.00162667	0.994020889
GPALPP1	0.09442699	0.56063101
GPAT3	0.142218649	0.474098542
GPAT4	0.060290217	0.300963159
GPATCH8	0.281220287	0.199438165
GPD1L	1.033559263	0.058481969
GPD2	0.110120475	0.060871124
GPHN	0.050195336	0.619444718
GPI	0.189121127	0.119164155
GPKOW	-0.093534708	0.15488254
GPN1	-0.08825767	0.386058035
GPN2	-0.249099553	0.268465722
GPN3	0.375026345	0.067236765
GPNMB	1.164715563	0.102484132
GPR108	-0.168032025	0.590098289
GPR89A;GPR89B	0.695330799	0.006525483
GPS1	0.048969567	0.518498351
GPX1	0.014669776	0.920415459
GPX4	-0.033717394	0.79373659
GPX7	0.771349223	0.440221434
GPX8	0.482902368	0.299911724
GRAMD1A	-0.101031297	0.725660311
GRAP	0.79997474	0.000447035
GRB10	0.186196685	0.033812723
GRB2	0.334131479	0.183074739
GRHPR	0.040468872	0.284387459
GRIN2A	-0.340376091	0.515175667
GRIN3A	0.207562268	0.531915917
GRIPAP1	0.013932168	0.882021686
GRK5	0.246383727	0.116708572
GRPEL1	-0.034631968	0.872437286
GRSF1	0.287912667	0.024538457
GRWD1	0.079866469	0.363056108
GSDMD	0.550792396	0.008325104
GSDME	-0.011999905	0.90639706
GSK3A	-0.301337957	0.011122981
GSK3B	-0.054220498	0.562553564
GSKIP	0.028486303	0.925070548
GSN	-0.052711904	0.755061519
GSPT1	0.192117631	0.003696807
GSPT2	-0.020048797	0.933990755
GSR	0.054032564	0.700957623
GSS	0.159490764	0.003457935
GSTK1	0.090841413	0.766149534
GSTM2	-0.06863755	0.858122155
GSTM3	0.25785315	0.005146286
GSTM4	1.037075679	0.450660971
GSTO1	0.127852082	0.270031361
GSTP1	-0.084753871	0.534890442
GSTT1	-0.088497758	0.185003949
GSTT2B	1.615107715	1
GSTZ1	0.332057744	0.455034233
GTF2A1	0.301338732	0.003533733
GTF2A2	-0.364037922	0.516203702
GTF2E1	-0.049849868	0.547225116
GTF2E2	1.206049442	8.13E-05
GTF2F1	0.000194252	0.99712564
GTF2F2	0.185508788	0.157401298
GTF2H1	0.22141394	0.417571483
GTF2H3	2.327861404	0.000219269
GTF2H4	0.332109869	0.052409106
GTF2H5	-0.180528273	0.404042381
GTF2I	-0.059525728	0.702291908
GTF2IRD1	-0.064793169	0.745829863
GTF3C2	1.258354545	0.199828748
GTF3C3	0.043916017	0.799052428
GTF3C4	0.037604988	0.762059116
GTF3C5	0.117260814	0.192849227
GTPBP1	0.616939187	0.001624963
GTPBP10	0.532714081	0.016281457
GTPBP4	0.373099506	0.36414384
GTPBP6	-0.186880887	0.066177963
GUF1	-0.076818602	0.858931656
GUK1	0.177999318	0.0704799
GYG1	0.4087165	0.30263285
GYPC	-0.190431952	0.337378162
GYS1	-0.024511755	0.887116778
H1-0	0.162061453	0.593023567
H1-1	0.704985332	0.391205354
H1-10	-0.038051248	0.879519238
H1-2	0.188617587	0.500113822
H1-3	-0.085823774	0.798959734
H1-4	0.159962058	0.53256379
H1-5	-0.007297575	0.983041845
H2AC20;H2AC18	0.120649934	0.381224898
H2AC6	0.008272529	0.95060116
H2AX	0.678548038	0.032249876
H2AZ1;H2AZ2	0.161349118	0.286686877
H2BC12;H2BC5;H2BC4;H2BC18;H2BC9;H2BC15;H2BC14	0.227388203	0.396726331
H2BU1	0.068440139	0.856897628
H3-2	0.379754364	0.58384368
H3-3A	0.012820303	0.982846754
H3C1	2.252140377	0.040521363
H3C15	1.795294906	0.127106421
H4C1	0.20148623	0.759930916
H6PD	0.215351164	0.635224258
HABP4	0.308687449	0.041027741
HACD3	0.433206618	0.171191419
HACL1	0.128548682	0.249205576
HADH	0.199992478	0.034574637
HADHA	0.003657997	0.958265067
HADHB	0.0139485	0.805552159
HAGH	0.055721462	0.73115958
HARS1	0.133308053	0.062132443
HARS2	0.545071006	0.014120662
HAT1	0.094938576	0.096942387
HBA1	0.192446053	0.310257571
HBB	0.713405609	0.106146403
HBS1L	0.079051971	0.636361438
HCCS	0.182656467	0.696273062
HCFC1	-0.040372908	0.56411482
HCLS1	0.020884752	0.886870618
HDAC1	0.112301052	0.624614163
HDAC2	0.033879519	0.688610056
HDAC6	0.042809308	0.526851953
HDAC7	0.934506009	0.382392217
HDDC2	0.208907008	0.506732963
HDDC3	-0.137762606	0.589528154
HDGF	0.007698953	0.950189565
HDGFL2	0.18676722	0.004169267
HDGFL3	0.291563749	0.009793089
HDHD2	1.16951704	5.82E-05
HDHD3	-1.139775117	0.036459411
HDHD5	-0.122435808	0.313108549
HDLBP	0.12146157	0.239748153
HEATR1	0.333677411	0.124837501
HEATR3	-0.333222896	0.129530361
HEATR5A	0.651747108	0.022012487
HEATR5B	0.206907749	0.029414184
HEATR6	0.233542363	0.67034407
HEBP1	0.153376877	0.133287458
HEBP2	-0.051059544	0.351548035
HECTD1	-0.031320095	0.718081703
HECTD3	-0.058903754	0.587005277
HELZ	0.056753755	0.64184058
HERC4	0.000413239	0.995868402
HERPUD2	1.543987393	0.002686574
HES1	-0.217098892	0.280055624
HEXA	0.042200208	0.733928483
HEXB	0.196171224	0.114015274
HEXIM1	0.095998943	0.401321157
HGFAC	-0.68233977	0.188218991
HGH1	0.155374587	0.244259395
HGS	0.154961705	0.390277523
HHIP	-0.14221561	0.810863872
HIBADH	0.103476286	0.169990038
HIBCH	0.014392853	0.85762805
HID1	0.103176773	0.614345002
HIF1AN	-0.130992021	0.863410431
HIGD1A	0.50586611	0.153802603
HIGD2A	-3.188400328	7.53E-05
HINT1	0.037099004	0.714550177
HINT2	-0.280587316	0.084723635
HINT3	0.195718765	0.036595313
HIP1	0.079242408	0.382547152
HIP1R	0.164799035	0.103951369
HK1	0.245788217	0.116117938
HK2	0.096238315	0.427582012
HKDC1	0.120335877	0.229016428
HLA-A	0.17152226	0.649692149
HLA-B	0.090985477	0.832642836
HLA-C	0.136683504	0.545195004
HLA-E	-1.57399391	0.048630983
HLA-H	0.215130866	0.735001688
HM13	0.047185123	0.838947228
HMBS	0.194931865	0.039019953
HMG20A	-0.468729019	0.050999718
HMGA1	0.047366381	0.744362573
HMGA2	0.08764267	0.80128083
HMGB1	0.106410086	0.295266619
HMGB2	0.058752775	0.359560131
HMGB3	0.150405347	0.439000552
HMGCL	0.276863992	0.066114939
HMGCS1	-0.049449384	0.917826331
HMGN1	0.025312543	0.926986138
HMGN2	0.201836526	0.109855611
HMGN3	0.255382001	0.120028267
HMGN5	-0.456087202	0.007641577
HMOX1	-0.003483772	0.984011084
HMOX2	0.048399448	0.632819482
HNRNPA0	0.086589336	0.483560717
HNRNPA1	0.150634646	0.010901583
HNRNPA2B1	0.086451173	0.268134689
HNRNPA3	0.101896644	0.026709655
HNRNPAB	0.294677675	0.001048859
HNRNPC	0.111432314	0.125816937
HNRNPD	0.026333213	0.845598368
HNRNPDL	0.084149361	0.611565814
HNRNPF	-0.117782056	0.127505478
HNRNPH1	0.062905133	0.423068091
HNRNPH2	0.12716192	0.12632936
HNRNPH3	0.021219671	0.766653897
HNRNPK	0.006832361	0.905994214
HNRNPL	0.063673794	0.369954752
HNRNPLL	-0.057684243	0.429200671
HNRNPM	0.017599881	0.78189128
HNRNPR	0.129453599	0.265948021
HNRNPU	0.090496004	0.39951145
HNRNPUL1	-0.001210272	0.994468508
HNRNPUL2	0.260582328	0.000107313
HOMER3	-0.086679161	0.455441952
HOOK3	0.02565521	0.383998612
HP	0.087859558	0.762126464
HP1BP3	0.339481294	0.292154746
HPCAL1	-0.054786325	0.476906747
HPF1	0.104271531	0.426481912
HPRT1	0.041964054	0.659608033
HPS3	-0.213646551	0.248641107
HPX	0.64260087	0.374171154
HS1BP3	-0.508476257	0.020758688
HS2ST1	0.295585334	0.424194268
HSBP1	0.361013174	0.013187934
HSD17B10	-0.014298975	0.877872601
HSD17B11	0.174702227	0.29452861
HSD17B12	0.392418802	0.001364191
HSD17B14	-0.091994989	0.816597496
HSD17B2	0.447515896	0.394142601
HSD17B4	0.164952159	0.050690519
HSDL1	0.444499493	0.051484556
HSDL2	0.00464499	0.960962631
HSF1	-0.534938872	0.004160142
HSP90AA1	0.051760197	0.11549665
HSP90AA4P	-0.06096518	0.906300019
HSP90AB1	0.051115751	0.207975635
HSP90AB3P	0.262684226	0.107562626
HSP90AB4P	0.317576706	0.281023268
HSP90B1	0.073100388	0.766374851
HSPA12B	-0.163965672	0.818782176
HSPA14	0.105050802	0.637991813
HSPA1A;HSPA1B	0.038131595	0.826428503
HSPA1L	0.278899193	0.49218559
HSPA2	0.932565749	2.26E-05
HSPA4	0.076480269	0.21460536
HSPA4L	0.165706694	0.369492915
HSPA5	0.06122756	0.537738511
HSPA8	0.001631856	0.983981873
HSPA9	0.016451597	0.823030823
HSPB1	-0.05967319	0.379585234
HSPB11	-1.194481333	0.196200213
HSPBP1	-0.176188529	0.055101165
HSPD1	0.060539722	0.600510534
HSPE1	0.209815204	0.632323594
HSPG2	0.210253119	0.47851795
HSPH1	0.055381775	0.411162871
HTATIP2	0.005678236	0.977815598
HTATSF1	-0.036474645	0.59650332
HTRA2	1.32799089	0.000758192
HTT	-0.131757259	0.080243218
HUS1	-0.689059695	0.095908473
HUWE1	-0.042601407	0.278462054
HYAL2	1.108888865	0.273791452
HYI	-0.159530818	0.130441658
HYOU1	0.128758371	0.506111398
HYPK	0.333489358	0.007754651
IAH1	0.061825216	0.741953458
IARS1	0.091899753	0.427285109
IARS2	0.024841428	0.619569007
IBA57	-0.480557561	0.007338156
ICAM1	0.143960416	0.366179956
ICAM2	0.477470517	0.238281937
ID1	0.2061041	0.275582245
IDE	-0.159451425	0.055488544
IDH1	0.01464498	0.96527742
IDH2	-0.003344774	0.986970063
IDH3A	-0.016138613	0.85499457
IDH3B	0.051131189	0.616109582
IDH3G	0.045432091	0.760364111
IDI1	-0.091532826	0.578109167
IDNK	2.116530657	0.108885005
IER3IP1	-0.661233425	0.443503178
IFI16	0.120168269	0.258647428
IFI35	-0.241276801	0.052784013
IFIH1	-0.752460978	0.174120097
IFIT1	0.109779	0.854745467
IFIT3	0.105735302	0.885095883
IFIT5	-0.875302947	0.057346175
IFT27	-0.217888474	0.463579494
IFT43	0.881348908	0.031345046
IGBP1	0.050932348	0.318552848
IGF2BP1	-0.231919706	0.235219997
IGF2BP2	-0.024272919	0.899444749
IGF2BP3	-0.021019518	0.764563323
IGF2R	0.007823884	0.955911753
IGFBP4	0.101062775	0.360733336
IGFBP7	0.170799375	0.207379155
IGHA1	0.008103649	0.978155554
IGHG1;	1.230932713	1
IGHG2;IGHG4	-0.120000164	0.766179649
IGHG3	-0.298777997	0.761737354
IGHM	0.235394984	0.560731799
IGKC	-0.003097636	0.993509629
IGKV3D-11;IGKV3-11	0.599058151	1
IGLC2;IGLC3	-0.427374999	1
IK	0.021355748	0.822786525
IKBIP	0.09243232	0.643700756
IKBKB	0.037387133	0.622455952
IKBKG	-0.001642704	0.986164332
IL1RL1	1.239137093	0.07690186
IL33	0.023540378	0.978540762
IL6ST	-0.106699944	0.354676527
ILF2	0.283551574	7.58E-05
ILF3	0.185751379	0.020669985
ILK	-0.056045115	0.242723449
ILKAP	-0.319854379	0.085748058
ILVBL	0.022708476	0.860529704
IMMT	-0.019313931	0.676457511
IMP4	0.26367569	0.253047698
IMPA1	0.029624581	0.730045071
IMPACT	0.139553666	0.370784002
IMPDH1	0.099423885	0.192581025
IMPDH2	0.060503244	0.474106818
IMUP	0.354510367	0.151427145
INF2	0.153426766	0.020485536
INIP	0.104583263	0.609421195
INPP1	0.321469963	0.247027408
INPP5D	-0.021384656	0.801835127
INPP5K	0.344902694	0.276013276
INPPL1	-0.001262188	0.990560881
INTS1	0.12082237	0.328824904
INTS10	-0.663090837	0.057393317
INTS12	0.305762887	0.091668376
INTS13	0.051945031	0.631280828
INTS3	-0.116859615	0.08883293
INTS4	0.567964017	0.093309186
INTS5	-0.045313597	0.755367634
INTS6	0.103430799	0.714383802
INTS7	-0.152843058	0.171152066
INTS9	0.185150385	0.580736333
IPO11	0.17930907	0.200198904
IPO4	-0.077817321	0.477035513
IPO5	0.021496952	0.672412458
IPO7	0.061649919	0.623000233
IPO8	0.238091707	0.056080005
IPO9	-0.349523664	0.010431449
IQGAP1	0.127939522	0.255161608
IRAK4	0.118356287	0.468759993
IRF2BP1	0.034245551	0.780465713
IRF2BP2	0.047578871	0.722452284
IRF3	-1.102993309	0.011630032
IRF7	0.193164766	0.504385317
IRGQ	-0.037072003	0.756025789
ISCU	0.118512809	0.194681002
ISG15	-0.02262795	0.964669405
ISG20	0.380742371	0.261351783
ISOC1	0.598489106	1.96E-05
ISOC2	-0.13916719	0.301509136
IST1	0.022205234	0.818337919
ISY1	0.077954531	0.522463671
ISYNA1	0.11692211	0.826871263
ITCH	1.104410728	1
ITGA2	0.052632868	0.450910438
ITGA3	0.022047818	0.921533717
ITGA5	0.09880203	0.264004098
ITGA6	0.059760809	0.832717448
ITGAE	0.280812144	0.393489947
ITGAV	0.071464658	0.717556106
ITGB1	0.055775404	0.591876928
ITGB3	0.090867281	0.572407879
ITGB4	-0.043859422	0.931596515
ITGB5	1.516626666	0.005384087
ITIH2	0.656088412	0.08069203
ITIH3	0.425326228	0.12187292
ITM2B	2.796814978	0.002103299
ITPA	-0.002076685	0.977018746
ITPK1	-0.281816006	0.268170768
ITPKC	0.203723073	0.180613604
ITPR1	0.479738533	0.016866714
ITPR2	0.028589725	0.937425779
ITPR3	0.170728743	0.153023508
ITPRID2	0.007862151	0.965109105
ITPRIP	-0.702666283	0.335211149
ITSN1	0.140656412	0.148201363
ITSN2	-0.056812704	0.615777914
IVD	0.331689358	0.047867504
IWS1	0.07795167	0.39333861
JAK1	0.059404492	0.64316032
JAM3	0.06142652	0.751654018
JCAD	-0.052967191	0.557200272
JPT1	0.110426605	0.674491879
JPT2	0.023827732	0.630645604
JUN	-0.038163364	0.70817891
JUP	-0.050756752	0.327339119
KANK1	-0.197952092	0.28715829
KANK2	-0.260354221	0.179139022
KANK3	0.028859198	0.875986253
KARS1	0.023195863	0.700812935
KBTBD2	-0.222431345	0.128065282
KCMF1	0.100789189	0.274734614
KCTD10	0.074348748	0.541208579
KCTD12	-0.105246186	0.76383657
KCTD21	0.056890547	0.587551397
KCTD5	-0.110328197	0.274311795
KDM1A	0.233817518	0.027579101
KDM3B	0.04118979	0.752056685
KDR	-0.014568985	0.948338248
KDSR	0.294391632	0.089675092
KHDRBS1	0.100727439	0.228778946
KHSRP	0.001343906	0.987871147
KIAA0319L	1.238576084	0.000278351
KIAA1143	0.017338753	0.918164688
KIAA1217	0.426714092	0.335598685
KIDINS220	0.183150679	0.425997509
KIF13A	0.401522756	0.021781444
KIF13B	0.004435658	0.945896427
KIF1B	-0.247732759	0.035813458
KIF1C	-0.084191084	0.256955266
KIF20B	0.494143367	0.043816852
KIF2A	0.027658105	0.774966282
KIF3A	0.321299851	0.023261247
KIF3B	0.058257818	0.612542994
KIF5B	0.041788399	0.384328982
KIFAP3	0.289689481	0.030791917
KIFBP	0.004088879	0.95286418
KIN	-0.245287561	0.50258374
KIRREL1	0.153525174	0.208271744
KLC1	0.124766469	0.151065641
KLC2	0.012655795	0.886349674
KLC4	-0.149362266	0.286414247
KLHDC8B	-0.006676883	0.979154185
KLHL22	-0.069810033	0.681698431
KLHL4	-0.026134849	0.863885668
KLHL5	-0.339335442	3.05E-06
KPNA1	0.16508007	0.376731959
KPNA2	0.222570539	0.348934107
KPNA3	-0.001039743	0.988544409
KPNA4	0.200502694	0.013181154
KPNA6	0.322953939	0.133109941
KPNB1	0.077205062	0.341369552
KRAS	0.275780201	0.214717548
KRI1	0.302982986	0.200122547
KRR1	0.197676659	0.522532391
KRT1	0.423998505	0.378092168
KRT10	0.608662486	0.352702728
KRT17	0.08652393	0.809243582
KRT18	0.276969492	0.549417321
KRT19	0.149413824	0.858484078
KRT2	0.630013049	0.099680828
KRT23	-0.076469243	0.886438924
KRT7	0.08151108	0.904749604
KRT72	1.234525084	0.000531743
KRT8	0.161723614	0.650705454
KRT9	0.157272279	0.729477878
KTI12	-0.200576603	0.147858541
KTN1	0.044200838	0.599944613
KXD1	0.334472716	0.049387881
KYAT3	-0.28395772	0.060770577
L3HYPDH	0.058507681	0.371440389
LACC1	0.283580439	1
LACTB	0.147900701	0.002727437
LACTB2	0.084719837	0.598998737
LAGE3	0.054895997	0.698904337
LAMA4	0.108949006	0.502800411
LAMA5	-0.087372669	0.76645329
LAMB1	0.216615677	0.40535121
LAMB2	0.066369653	0.567051166
LAMB3	-0.085063577	0.872589293
LAMC1	0.068170369	0.466319079
LAMP1	0.218031287	0.455408908
LAMP2	2.21777348	0.000535463
LAMTOR1	-0.226148188	0.126832721
LAMTOR2	-0.233011007	0.032190552
LAMTOR3	-0.129228592	0.409075703
LAMTOR4	0.06925714	0.784333384
LAMTOR5	0.14159447	0.093419568
LANCL1	0.489450693	0.044855449
LANCL2	-0.111803055	0.05573693
LAP3	0.163980663	0.707258753
LARP1	-0.017229557	0.868812718
LARP4	0.174181223	0.287014649
LARP4B	0.021387637	0.850227136
LARP7	0.096551299	0.269472542
LARS1	0.117017627	0.277367914
LARS2	-0.209655762	0.443797354
LAS1L	0.177058578	0.233967583
LASP1	-0.003981352	0.98921377
LBR	0.025158107	0.837058099
LCMT1	0.533758879	0.146750847
LDAH	0.019940108	0.920479278
LDB2	0.136547267	0.356211264
LDHA	0.099103868	0.422536068
LDHB	0.165744066	0.068146465
LDLRAP1	0.390697261	0.167260622
LEMD2	-0.155824304	0.419678326
LEMD3	-0.116547346	0.508833759
LEO1	0.587647676	0.001290948
LETM1	-0.024524212	0.705146134
LGALS1	0.172564626	0.553038958
LGALS3	0.17840308	0.666931371
LGALS8	0.390425861	0.043145203
LGALS9	0.430864334	0.521055916
LGMN	0.196643293	0.2412962
LHFPL2	-0.05878377	0.801184613
LHPP	1.156143755	0.008276254
LIG1	0.306222626	0.503223652
LIMA1	0.013023436	0.892210763
LIMCH1	-0.106284618	0.535456646
LIMD1	-0.006940246	0.965124419
LIMD2	-0.067507386	0.472763065
LIMK2	1.211917619	0.303710066
LIMS1	0.215353489	0.336689774
LIMS2	-0.107385576	0.370775286
LIMS3;LIMS4	0.085024893	0.688474823
LIN7C	0.195569992	0.062286816
LIPA	-0.338462949	0.240786602
LIX1L	0.278375804	0.01120485
LLGL1	0.014334083	0.878509203
LLPH	0.197223246	0.447044609
LMAN1	-0.008460999	0.983314229
LMAN2	0.437292993	0.155062423
LMAN2L	0.591267645	0.06080406
LMF2	0.110818863	0.649858177
LMNA	0.060537696	0.890403639
LMNB1	0.093148708	0.546158954
LMNB2	0.085857332	0.523923755
LMO7	0.168547171	0.628865287
LNPEP	0.302371502	0.128754227
LONP1	-0.024129748	0.534833665
LOXL2	0.162558436	0.660904707
LPCAT1	-0.147196829	0.41456563
LPCAT2	0.045651138	0.739162012
LPCAT4	-0.319522023	0.226051836
LPIN1	0.344085336	0.33765668
LPP	0.007652998	0.810275159
LPXN	0.100818634	0.603117693
LRBA	0.275797963	0.009804163
LRCH2	-0.322365701	0.029198786
LRCH3	0.182306081	0.427141106
LRMDA	2.139683843	0.007089134
LRP10	-0.108160853	0.583466257
LRPAP1	-0.091325819	0.485795103
LRPPRC	0.00919944	0.906654187
LRRC1	-0.1242311	0.534493229
LRRC40	-0.071736813	0.296326582
LRRC47	-0.039082944	0.358053645
LRRC57	-0.132546127	0.523411
LRRC59	0.112199247	0.662025331
LRRC8A	0.009944499	0.927142143
LRRC8C	0.006391227	0.931202231
LRRC8D	1.742042893	0.003682354
LRRFIP1	0.091723263	0.40222934
LRRFIP2	0.08303827	0.355758264
LRSAM1	-0.008728087	0.859539389
LRWD1	-0.08338052	0.390803371
LSG1	-0.04042685	0.749449565
LSM1	-0.063582361	0.733614239
LSM12	1.265503764	3.14E-06
LSM14A	0.286910057	0.020165592
LSM14B	0.117749572	0.625783158
LSM2	-0.115868807	0.516872248
LSM3	-0.635719776	0.018813806
LSM4	0.142613828	0.400785586
LSM5	-0.437786341	0.038332345
LSM7	-0.076232791	0.729284913
LSM8	0.023038685	0.897031708
LSS	0.044187903	0.614755078
LTA4H	0.007746041	0.855230759
LTBP2	0.058421969	0.873265317
LTF	0.290940285	0.510936381
LTN1	0.31038332	0.038251195
LTV1	0.073614836	0.732525136
LUC7L	-0.169408679	0.131594168
LUC7L2	-0.002289236	0.982776759
LUC7L3	0.269347787	0.001083942
LUZP1	0.049233079	0.233866087
LXN	0.723140597	0.002499535
LY75	-0.00554955	0.96612971
LYAR	0.210775197	0.506633738
LYN	0.11504668	0.354283768
LYPLA1	0.21515727	0.024575063
LYPLA2	-0.189545393	0.302246038
LYPLAL1	0.102110207	0.646975399
LYRM4	-0.02587992	0.844112357
LYRM7	0.002455115	0.991248778
LZIC	0.300630808	0.049502998
LZTFL1	-0.027529895	0.863126288
M6PR	-0.084813893	0.656426051
MACF1	-0.042999208	0.570649483
MACROD1	0.072624743	0.628797049
MACROH2A1	0.472670317	0.352229857
MAD1L1	-0.00243032	0.981909282
MAD2L1BP	0.221335093	0.671197206
